File ID,Is Valid,Signal Duration (s),P Arrival Time (s),Error,Has P Arrival
1200456,False,67.01,-9.5,P arrival time (-9.50s) outside signal duration (0 to 67.01s),True
1200517,False,67.01,68.8,P arrival time (68.80s) outside signal duration (0 to 67.01s),True
1200531,False,67.01,-13.3,P arrival time (-13.30s) outside signal duration (0 to 67.01s),True
1201217,False,67.01,-13.0,P arrival time (-13.00s) outside signal duration (0 to 67.01s),True
1281939,False,87.01,-8.6,P arrival time (-8.60s) outside signal duration (0 to 87.01s),True
2081807,False,63.01,-11.3,P arrival time (-11.30s) outside signal duration (0 to 63.01s),True
3051301,False,69.01,-2.6,P arrival time (-2.60s) outside signal duration (0 to 69.01s),True
3140259,False,63.01,-10.2,P arrival time (-10.20s) outside signal duration (0 to 63.01s),True
3140600,False,74.01,-1.8,P arrival time (-1.80s) outside signal duration (0 to 74.01s),True
3191957,False,132.01,-4.4,P arrival time (-4.40s) outside signal duration (0 to 132.01s),True
3200328,False,79.01,-21.3,P arrival time (-21.30s) outside signal duration (0 to 79.01s),True
3200329,False,67.01,-5.9,P arrival time (-5.90s) outside signal duration (0 to 67.01s),True
4301418,False,85.01,-3.4,P arrival time (-3.40s) outside signal duration (0 to 85.01s),True
5010731,False,23.0,30.8,P arrival time (30.80s) outside signal duration (0 to 23.00s),True
5012153,False,69.01,71.7,P arrival time (71.70s) outside signal duration (0 to 69.01s),True
6092231,False,64.01,-11.7,P arrival time (-11.70s) outside signal duration (0 to 64.01s),True
10011118,False,69.01,-1.1,P arrival time (-1.10s) outside signal duration (0 to 69.01s),True
10011256,False,68.01,-16.0,P arrival time (-16.00s) outside signal duration (0 to 68.01s),True
10111517,False,83.01,-14.6,P arrival time (-14.60s) outside signal duration (0 to 83.01s),True
10310713,False,70.01,-9.9,P arrival time (-9.90s) outside signal duration (0 to 70.01s),True
11011019,False,17.0,30.0,P arrival time (30.00s) outside signal duration (0 to 17.00s),True
12101447,False,66.01,-6.8,P arrival time (-6.80s) outside signal duration (0 to 66.01s),True
12131733,False,16.0,30.8,P arrival time (30.80s) outside signal duration (0 to 16.00s),True
12162359,False,27.0,31.0,P arrival time (31.00s) outside signal duration (0 to 27.00s),True
